,Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
1512,Person search,2020-03-09T13:44:28+00:00,False,,51.765857000000004,-0.228133,Female,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1513,Person search,2020-03-09T14:18:48+00:00,True,,51.791526,-0.21541100000000002,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
1514,Person and Vehicle search,2020-03-09T16:00:00+00:00,False,,51.741825,-0.445716,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1515,Person search,2020-03-09T17:33:00+00:00,False,,51.900290000000005,-0.20460699999999998,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1516,Person and Vehicle search,2020-03-09T17:33:00+00:00,False,,51.900290000000005,-0.20460699999999998,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1517,Person search,2020-03-09T17:55:00+00:00,False,,51.94956,-0.282629,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
1518,Person search,2020-03-09T17:55:00+00:00,False,,51.94956,-0.282629,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
1519,Person and Vehicle search,2020-03-09T18:55:00+00:00,False,,51.749134000000005,-0.23724800000000001,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1520,Person search,2020-03-09T18:55:00+00:00,False,,51.749134000000005,-0.23724800000000001,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1521,Person search,2020-03-09T19:00:00+00:00,False,,,,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1522,Person and Vehicle search,2020-03-09T19:00:00+00:00,False,,52.046527000000005,-0.022325,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
1523,Person search,2020-03-09T19:40:00+00:00,False,,51.92276,-0.21227600000000002,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
1524,Person search,2020-03-09T20:00:00+00:00,False,,51.763599,-0.24123499999999998,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1525,Person search,2020-03-09T20:20:00+00:00,False,,51.763599,-0.24123499999999998,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1526,Person search,2020-03-10T00:10:00+00:00,False,,,,Female,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1527,Person and Vehicle search,2020-03-10T00:10:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1528,Person search,2020-03-10T00:10:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
1529,Person search,2020-03-10T10:15:00+00:00,False,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
1530,Person search,2020-03-10T12:00:00+00:00,False,,51.859004999999996,0.132212,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1531,Person search,2020-03-10T12:02:00+00:00,False,,51.859004999999996,0.132212,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1532,Person search,2020-03-10T12:02:00+00:00,False,,51.859004999999996,0.132212,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1533,Person search,2020-03-10T12:05:00+00:00,False,,51.859004999999996,0.132212,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1534,Person search,2020-03-10T12:44:00+00:00,False,,51.685190999999996,-0.033873,Male,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
1535,Person search,2020-03-10T12:45:00+00:00,False,,51.685190999999996,-0.033873,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
1536,Person search,2020-03-10T12:45:00+00:00,False,,51.685190999999996,-0.033873,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
1537,Person search,2020-03-10T12:45:00+00:00,False,,51.685190999999996,-0.033873,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
